Id	Garganega	Glera	Moscatobianco	Passerina	Vermentino
Vitvi06g00467	95.2108	104.088	103.516	123.905	117.55
Vitvi06g00464	218.952	173.745	191.173	267.457	153.268
Vitvi06g00465	332.271	875.559	912.519	513.727	658.002
Vitvi06g00462	188.363	173.548	179.05	191.314	188.263
Vitvi06g00460	281.058	346.213	330.564	434.358	302.664
Vitvi18g02765	298.753	441.003	218.477	429.238	300.46
Vitvi14g01178	1923.67	1096.9	2121.47	1942.69	780.983
Vitvi14g01179	1049.34	1736.68	3010.12	1397.62	2692.08
Vitvi14g01176	107.842	87.7565	135.473	106.212	94.0094
Vitvi14g01177	184.962	156.582	139.507	203.899	166.359
Vitvi19g00813	0	0	2.95908	9.87653	1.28211
Vitvi19g00812	0.309536	0.661775	0	1.42883	0.960685
Vitvi18g01490	149.146	110.175	143.843	111.501	101.231
Vitvi14g01798	3174.03	4534.15	3579.16	3440.18	2733.96
Vitvi14g01799	92.4433	92.5098	37.9333	111.863	53.9633
Vitvi14g01796	2873.99	3575.4	2360.93	2739.52	3346.06
Vitvi14g01797	304.059	337.928	236.397	86.5931	123.406
Vitvi14g01794	1115.39	1113.88	1066.75	1097.74	1485.06
Vitvi14g01795	1.83329	1.65444	3.82669	4.30188	0
Vitvi14g01791	6.70601	4.41052	8.80122	52.7279	5.7724
Vitvi08g02311	28.8467	38.6149	53.1714	27.2129	29.24
Vitvi08g02312	227.707	240.162	220.951	256.069	247.379
Vitvi08g02313	461.071	405.822	419.358	540.275	546.557
Vitvi08g02314	1618.6	1630.94	2045.6	1188.59	1680.13
Vitvi08g02315	243.065	243.314	155.51	112.102	135.45
Vitvi08g02316	14.5821	6.79733	17.4055	14.767	10.6002
Vitvi08g02317	261.671	277.324	380.567	345.22	409.8
Vitvi08g02318	5.73537	4.10098	2.98684	3.50514	1.27852
Vitvi08g02319	160.549	65.9969	42.2499	41.772	86.118
Vitvi14g00228	2152.9	758.306	803.242	1335.27	1024.98
Vitvi17g00904	28.2575	24.0812	28.8117	32.2142	34.7041
Vitvi13g02001	119.133	112.301	103.158	113.314	109.561
Vitvi13g02002	219.738	258.455	220.384	275.728	230.637
Vitvi13g02004	83.7901	73.7123	58.5749	143.562	75.1748
Vitvi05g00469	7303.34	5941.4	5151.14	4996.52	4347.35
Vitvi05g00468	9.63956	4.49402	5.39354	29.171	5.15517
Vitvi05g00464	483.189	476.515	571.88	551.291	435.737
Vitvi05g00467	696.911	371.527	129.252	376.301	376.172
Vitvi05g00461	958.384	1459.07	1282.36	969.417	615.795
Vitvi05g00460	167.253	171.76	158.742	608.848	248.733
Vitvi05g00463	365.316	350.196	379.816	462.642	307.699
Vitvi05g00462	2251.29	2026.7	1582.93	1861.23	2024.13
Vitvi13g00864	189.991	216.321	247.126	288.636	231.667
Vitvi13g00860	14.8038	31.1558	32.4587	32.856	17.0476
