Id	Garganega	Glera	Moscatobianco	Passerina	Vermentino
Vitvi16g00935	3.63954	1.48656	2.0858	1.38109	2.02231
Vitvi16g00938	0.329893	1.70489	0.760149	0.660309	1.09248
Vitvi05g00878	1.0593	1.41544	2.63477	2.67239	4.06453
Vitvi05g00872	551.848	554.502	381.112	574.985	446.133
Vitvi03g00031	236.319	113.322	165.237	124.261	164.981
Vitvi13g00178	1.16555	0.289452	0.827471	0	2.6564
Vitvi15g01601	0	9.76234	11.3415	6.25919	4.27831
Vitvi13g00179	76.2333	86.8034	51.5689	76.6575	65.9058
Vitvi15g01604	0.39951	3.85623	2.81288	5.47854	3.72897
Vitvi15g01606	0	7.46211	3.41145	6.27445	2.18153
Vitvi15g00113	2.00121	3.14403	0.894793	0.36039	0
Vitvi15g00110	67.7806	204.115	19.6101	176.25	27.2715
Vitvi17g00952	1304.87	1097.74	1006.66	899.563	911.195
Vitvi02g00712	251.636	303.404	360.104	296.521	350.033
Vitvi02g00715	89.1315	85.7415	64.6511	83.4542	66.509
Vitvi02g00718	225.987	270.398	293.042	669.649	100.178
Vitvi13g00229	2260.05	1798.29	1958.97	2126.01	2222.99
Vitvi15g00114	0.436147	2.21351	0.827471	2.68705	5.06541
Vitvi13g00222	1040.48	992.12	1255.52	1306.54	898.725
Vitvi13g00223	54.9384	156.268	55.2303	177.84	86.1146
Vitvi13g00220	33.0683	15.8182	6.53709	11.2735	7.24694
Vitvi13g00221	14.3786	5.74183	7.66077	6.81565	8.74667
Vitvi13g00226	4571.16	3938.18	4033.96	4106.78	3664.66
Vitvi13g00227	944.753	908.026	1336.11	1032.46	1042.89
Vitvi13g00225	1049.55	381.24	463.364	870.737	262.01
Vitvi13g00590	21.3577	12.2728	10.1682	16.2274	12.6349
Vitvi13g00592	888.597	800.056	965.843	1195.85	837.521
Vitvi13g00594	54629.1	28526	25648.8	23035.6	41619.3
Vitvi13g00596	1077.27	736.23	594.789	476.239	988.514
Vitvi13g00597	100.872	91.6686	107.306	100.468	105.177
Vitvi13g00599	84.4626	77.7533	85.7519	58.7235	91.6816
Vitvi18g00001	223.619	291.107	264.87	322.021	310.008
Vitvi18g00408	1538.16	1179.68	1731.47	2216.09	1495.88
Vitvi18g00401	48.62	31.3886	49.9085	80.992	37.5752
Vitvi18g00403	573.668	295.58	311.5	296.273	254.681
Vitvi18g00402	562.292	562.143	609.613	650.395	541.578
Vitvi18g00405	119.894	61.5762	8.08242	106.114	4.36648
Vitvi18g00407	1054.03	1005.81	1029.62	975.816	929.831
Vitvi18g00406	0.729403	0	0.894793	0.64565	0.617605
Vitvi19g00636	692.04	537.897	941.903	1342.55	538.687
Vitvi19g00633	148.147	132.829	101.851	108.18	93.8967
Vitvi19g00631	635.635	874.697	267.351	381.963	415.261
Vitvi02g01048	0	0	0	0.85578	2.02231
Vitvi18g00003	206.094	258.893	205.923	244.346	233.587
Vitvi13g01171	30.2681	26.3068	24.136	24.2439	31.2622
Vitvi13g01170	2.3311	1.04011	0.43086	2.10187	0.702353
Vitvi13g01173	0.329893	2.10392	3.82695	2.13119	19.6378
Vitvi18g00002	1040.47	1077.5	1203.65	1078.19	1180.03
Vitvi16g01218	236.406	155.596	180.816	139.633	175.773
Vitvi08g02138	33.7174	25.4915	33.0967	22.0956	41.5357
Vitvi08g02139	11.7729	4.89718	13.1146	13.916	11.6505
Vitvi08g02134	0.729403	0.578905	0.447396	1.11049	1.01116
Vitvi08g02135	339.613	286.242	332.762	314.143	323.521
Vitvi08g02136	787.191	722.241	794.872	825.263	787.375
Vitvi08g02130	0.39951	0	0.380075	0.64565	0.39355
Vitvi08g02131	5336.12	8007.34	6042.99	6410.25	4868.7
Vitvi08g02132	5.9085	1.57244	4.35703	2.32666	0.39355
Vitvi08g02133	39.6471	49.5388	59.8901	65.8336	38.0843
Vitvi14g00001	32.3278	45.3287	59.3631	21.7334	40.8396
Vitvi14g00003	3208.96	3990.61	4089.04	3690.1	4381.19
Vitvi14g00002	96.8073	82.0077	74.1411	82.8752	68.7293
Vitvi05g01918	102.238	62.361	84.4012	94.1627	50.2073
Vitvi05g01916	17.7107	154.15	228.971	68.1181	148.477
Vitvi05g01912	4.08682	5.09992	10.1163	14.6807	5.55056
Vitvi05g01910	4.79412	1.44726	7.44109	0.375049	0.617605
Vitvi05g01911	14.3494	7.62723	4.53514	0.375049	1.87958
Vitvi01g00446	126.698	142.724	143.418	105.892	152.369
Vitvi01g02074	991.369	855.853	848.049	1015.65	912.715
Vitvi01g02070	4.88218	6.28955	1.63841	3.63262	0.926408
Vitvi01g02073	10.9372	5.2095	2.8802	5.79435	2.24294
Vitvi10g01635	1.49544	0	0	0	0.308803
Vitvi11g00040	1043.8	966.981	1200.14	528.088	523.62
Vitvi11g00041	420.992	1075.44	706.344	495.247	875.659
Vitvi11g00042	242.822	329.688	297.585	299.699	302.882
Vitvi11g00043	1720.9	3495.42	2760.35	3360.48	2629.73
Vitvi11g00044	1185.38	745.252	529.145	551.353	653.512
Vitvi11g00046	14.5583	4.28709	6.36819	5.61414	6.3171
Vitvi11g00048	1552.02	1163.51	742.559	1341.29	1766.67
Vitvi11g00049	908.447	908.265	880.343	812.427	855.704
Vitvi03g00180	1037.43	1048.88	1196.24	895.51	1231.57
Vitvi03g00181	2993.05	3195.88	1925.93	2912.05	3173.69
Vitvi03g00182	33.4785	36.2954	29.7618	44.5223	57.3962
Vitvi03g00183	154.795	94.2877	103.804	10.8081	15.074
Vitvi03g00185	365.094	273.99	373.088	203.339	349.99
Vitvi03g00186	473.425	718.879	956.534	553.541	1442.5
