Id	Barbera	Garganega	Glera	Moscatobianco	Negroamaro	Passerina	Primitivo	Refosco	Sangiovese	Vermentino
Vitvi07g02600	34.2311	12.1414	21.7694	13.1246	7.79902	12.2547	14.6797	19.9924	5.75285	28.285
Vitvi06g00529	1167.39	384.501	981.35	997.191	924.603	821.41	1215.68	1519.73	1238.58	1234.31
Vitvi06g00526	293.606	159.259	237.694	216.527	309.333	540.688	570.742	270.836	394.328	196.758
Vitvi06g00525	27.339	18.78	44.3993	17.2983	25.3677	41.6908	37.8656	220.773	71.3045	24.7938
Vitvi07g02609	17.9788	14.9323	12.0823	15.2783	10.6237	6.56209	17.0286	20.0162	17.8261	12.5463
Vitvi06g00522	260.999	548.027	487.905	491.046	680.757	304.479	337.187	268.837	304.423	423.542
Vitvi06g00520	0	3.19475	0.930259	0	4.50301	1.00626	0	0	11.8381	2.88892
Vitvi14g01201	541.517	615.662	676.428	478.448	616.815	563.194	683.265	576.114	630.392	513.746
Vitvi18g02755	2.44776	7.0382	5.15111	3.52301	2.17849	5.00517	3.50359	4.94037	7.307	6.4303
Vitvi15g00538	560.121	478.703	583.148	391.59	490.195	573.053	584.271	500.329	407.786	553.859
Vitvi15g00534	22.9379	0.310398	0	7.01375	38.5784	2.61733	1.12075	19.3046	2.54067	5.79489
Vitvi15g00531	201.813	208.35	203.838	233.715	182.752	212.747	225.849	180.476	167.289	204.808
Vitvi15g00532	479.311	461.333	495.247	481.632	360.833	276.33	391.721	466.287	420.403	428.552
Vitvi15g00533	445.507	426.544	394.808	506.594	445.373	450.702	398.019	483.341	366.533	350.161
Vitvi17g00008	415.591	347.291	334.216	551.769	480.852	483.159	487.074	458.906	513.339	369.908
Vitvi17g00009	10.6633	5.61728	7.76996	15.4743	6.86836	4.25998	9.30722	11.5553	14.6154	4.81843
Vitvi07g00711	298.861	341.224	241.951	289.049	304.669	257.41	275.827	313.467	232.694	321.62
Vitvi18g02753	1503.65	471.153	163.686	925.729	304.56	499.124	159.821	450.645	1084.18	1217.23
Vitvi07g00710	156.676	179.473	183.566	183.766	146.393	220.471	156.952	189.894	168.471	193.067
Vitvi07g00717	2.30868	1.44041	0.935217	1.69291	0.866497	4.49898	2.62079	2.33308	2.23122	1.28501
Vitvi15g00395	51.9674	54.9557	33.9928	37.5978	37.427	35.332	35.2757	31.0251	42.2822	26.0925
Vitvi05g01891	179.486	165.551	172.565	163.856	195.541	194.142	208.239	187.558	182.83	293.184
Vitvi05g01896	147.988	121.954	152.472	110.123	115.315	121.254	145.824	115.229	133.052	151.341
Vitvi05g01895	37.1003	27.4574	16.7027	17.257	18.92	30.6703	36.9134	32.2442	18.7988	35.7517
