gene	Barbera_Touch	Negroamaro_Touch	Primitivo_Touch	Refosco_Touch	Sangiovese_Touch
Vitvi08g00079	1624.28	1438.43	1410.95	1195.15	1641.5
Vitvi14g02460	3.3492	3.86468	7.08208	10.2537	2.21051
Vitvi01g00982	1.49398	5.19206	0	4.46089	1.28154
Vitvi14g03019	87.2398	79.1144	88.5822	88.128	99.8189
Vitvi14g03018	0.92761	0	0.828539	0.282126	0.960812
Vitvi04g00345	815.48	0.530984	5.26322	3209.07	14.8757
Vitvi04g00344	9.91428	0	0	4.38997	7.68027
Vitvi04g00347	715.646	310.955	574.296	173.718	170.714
Vitvi04g00346	134.7	101.181	178.065	80.1909	104.42
Vitvi04g00341	12837.3	18967.4	16161.4	14387.5	15455.5
Vitvi04g00340	26.4813	39.3349	37.1025	22.2779	21.1942
Vitvi05g01284	76.819	90.427	74.8789	113.404	34.7663
Vitvi02g00264	0	0.534861	1.19853	0.766081	4.15325
Vitvi02g00266	4.77479	7.12828	6.20846	3.08573	7.8674
Vitvi02g00261	1.47118	23.5438	7.57232	9.43543	12.3808
Vitvi04g00349	4.79932	17.9228	9.58883	449.713	757.283
Vitvi04g00348	44.2986	16.2667	26.9953	58.0943	32.9031
Vitvi16g00302	0.701404	1.33134	1.08244	1.00806	0.316233
Vitvi02g00198	135.1	255.032	223.717	166.121	160.278
Vitvi02g00199	458.949	451.005	526.464	438.598	455.785
Vitvi17g00845	4.59587	12.9182	3.65601	6.19646	5.43791
Vitvi02g00191	0.248993	0.265492	0.828539	0.524103	1.58566
Vitvi02g00196	1.24497	0	90.1028	0.27744	83.2385
Vitvi02g00195	1.72019	4.419	4.42829	2.12719	1.26493
Vitvi08g00132	97.3329	186.542	133.9	253.565	210.875
Vitvi08g00133	12.1096	30.5048	17.9095	10.1379	14.8789
Vitvi08g00130	12.3814	17.8323	12.533	11.8719	19.3111
Vitvi05g00888	4.88877	0	1.40317	2.99966	2.85959
Vitvi08g00134	174.225	128.454	166.204	166.69	137.869
Vitvi08g00135	12018.3	16590	13293.4	14687.4	13651.6
Vitvi05g00883	317.421	229.037	256.115	259.145	267.779
Vitvi05g00880	0.995981	0.265492	1.34691	1.36111	0.636965
Vitvi05g00886	12.6988	0	0	1.93473	3.14398
Vitvi05g00885	79.4001	83.1978	97.0091	72.9184	64.0742
Vitvi05g00884	84.6501	80.2697	92.2002	77.8197	56.1584
Vitvi08g01841	44.3213	89.5723	89.2034	158.392	84.0887
Vitvi08g01843	315.162	200.177	138.644	55.7946	144.972
Vitvi08g01842	1290.48	1191.31	1435.69	1549.34	1835.69
Vitvi08g01845	351.279	577.481	437.193	518.049	428.35
Vitvi08g01844	3968.18	2614.58	4366.16	1146.05	2476.15
Vitvi08g01847	70.0329	18.6172	63.5843	26.7418	22.62
Vitvi08g01846	76.0175	778.157	31.947	718.085	47.5491
Vitvi03g00891	1.96919	5.57813	1.18796	26.2357	0.93347
Vitvi09g00943	0.27179	0	13.9988	0.801543	0
Vitvi18g00889	6.2249	8.46729	9.96582	8.90664	7.31385
Vitvi01g01930	43.7972	1.92063	0	0	0
Vitvi01g01931	69.6227	51.9393	50.3141	50.5817	34.8915
Vitvi01g01932	1.26777	3.25197	3.22559	2.16265	1.91851
Vitvi01g01933	1.1766	0.538738	0.867233	0	0.316233
Vitvi01g01934	34.726	105.508	60.4067	75.3987	29.2571
Vitvi01g01935	355.396	740.396	407.8	477.712	472.366
Vitvi01g01936	155.693	180.52	166.319	244.438	187.597
Vitvi01g01938	459.057	499.419	537.694	465.506	514.917
Vitvi01g01939	7.69609	6.87062	8.52812	10.2856	6.33642
Vitvi08g01265	179.083	170.338	170.644	164.035	97.2033
Vitvi08g01264	0.226206	1.08918	0.292599	0.519417	0
Vitvi08g01267	881.674	863.181	826.787	848.068	853.015
Vitvi08g01266	427.502	441.024	372.762	438.916	467.538
Vitvi08g01260	39.089	162.888	26.1871	159.425	156.328
Vitvi08g01262	6.58613	11.5122	2.25284	13.122	3.15298
Vitvi13g00527	3.89277	3.61082	1.93211	2.12719	4.13352
Vitvi13g00526	68.246	45.4684	62.7572	53.7738	53.323
Vitvi13g00529	85.5145	72.0103	70.366	84.9125	89.1632
Vitvi13g00528	909.266	924.392	862.696	787.154	861.567
Vitvi18g00105	1293.93	857.482	978.166	882.848	788.798
Vitvi18g00107	0.226206	0	0	1.64792	0
Vitvi18g00100	335.317	306.093	298.652	247.458	283.543
Vitvi18g00101	115.619	403.768	160.208	62.4924	97.1935
Vitvi18g00102	459.404	560.907	510.339	439.949	466.016
Vitvi18g00103	16.6583	22.7901	38.0851	11.5392	14.8681
Vitvi18g00108	1.60794	30.1533	0.292599	1.32096	1.60989
Vitvi18g00109	1.06436	5.65691	1.73447	2.08704	1.24209
Vitvi04g01562	130.381	53.9271	84.607	73.0509	93.1504
Vitvi08g02189	4889.41	5277.11	5281.56	5940.02	6513.95
Vitvi08g02188	477.593	475.398	517.43	573.543	497.999
Vitvi08g02185	48.2158	35.4537	48.0558	38.5262	35.5724
Vitvi08g02184	23.9264	27.2995	25.27	16.6671	6.92182
Vitvi08g02187	751.418	979.374	907.872	709.858	740.923
Vitvi08g02186	114.759	144.594	111.996	81.2578	84.0533
Vitvi08g02181	332.556	166.122	214.14	255.674	218.485
Vitvi08g02180	61.4776	50.1441	33.2629	72.3376	35.5212
Vitvi08g02182	0	0.265492	6.77609	0	0
Vitvi10g00228	6.51949	8.01811	10.411	7.5007	6.90659
Vitvi17g01341	179.005	130.344	191.637	55.116	148.303
Vitvi09g01351	84.9111	681.784	557.478	337.808	171.091
Vitvi09g01352	542.404	739.171	681.999	759.71	680.268
Vitvi09g01354	245.768	300.801	284.165	259.208	279.371
Vitvi04g01130	7.60492	2.75991	4.6182	10.9629	14.9699
Vitvi17g01345	1150.78	923.278	1123.83	944.959	1161
Vitvi04g01134	53.892	63.8927	30.645	29.9325	54.5845
Vitvi04g01136	0.950397	0.538738	0.253905	0.796857	0.985039
Vitvi16g01174	16.2075	13.5185	4.42829	86.5102	10.1734
Vitvi16g01171	10.0282	4.90711	3.66658	4.85409	5.33927
Vitvi12g02589	5.6813	5.99249	4.64633	2.44009	2.55097
Vitvi16g01179	91.0817	87.3465	76.704	88.0321	110.534
Vitvi04g01687	631.318	791.678	663.022	600.975	579.788
Vitvi04g01686	139.412	133.032	114.776	104.409	103.383
Vitvi04g01684	5.9531	2.44386	4.90797	7.42509	11.0477
Vitvi04g01683	0.950397	0.538738	0.641459	0.559566	3.12876
Vitvi04g01682	466.316	236.221	365.615	286.544	330.412
