gene	Barbera_Soft	Negroamaro_Soft	Primitivo_Soft	Refosco_Soft	Sangiovese_Soft
Vitvi04g00618	1926.31	2190.89	2175.29	2012.66	3855.98
Vitvi07g00702	1.68551	1.07861	2.97631	2.37731	3.04812
Vitvi07g00703	58.7304	57.8113	69.4736	59.8896	51.434
Vitvi04g00611	152.542	164.006	109.172	166.179	147.74
Vitvi07g00706	9.06232	7.6887	10.3213	3.83504	4.94574
Vitvi04g00616	257.813	319.32	284.909	347.045	332.054
Vitvi07g00704	196.092	211.981	251.356	124.309	264.302
Vitvi07g00705	3.93596	3.38422	2.2862	1.9445	2.04524
Vitvi14g03099	9247.88	7176.29	9033.6	10520.2	5791.88
Vitvi14g03098	147.346	153.938	154.614	149.011	135.197
Vitvi14g03097	121.753	83.0063	119.838	87.186	89.6215
Vitvi14g03096	0	0.654598	0.419536	8.95538	0
Vitvi14g03095	84.4283	74.6541	81.8228	106.378	93.2297
Vitvi14g03093	1090.57	1068.86	1348.54	911.212	693.088
Vitvi14g03091	6.69265	14.8401	3.05079	9.80526	7.97985
Vitvi14g03090	8.66825	4.10896	6.70964	6.39395	8.18094
Vitvi06g00746	1518.07	1630.41	1287.26	1505.92	1539.6
Vitvi06g00745	1466.73	139.521	751.548	806.954	593.134
Vitvi06g00743	957.265	554.25	1138.07	765.392	928.851
Vitvi06g00742	291.482	145.477	243.363	191.967	196.29
Vitvi06g00741	4324.85	2456.01	2047.83	2855.13	2414.16
Vitvi06g00740	90.0513	22.7573	35.7142	14.2522	33.924
Vitvi01g00329	2.01571	6.80142	9.59778	2.0116	23.0768
Vitvi04g02101	39.1936	32.8918	57.3374	48.6371	37.1033
Vitvi04g02103	63.385	49.016	57.909	46.0823	55.4558
Vitvi04g02105	625.732	466.869	813.247	367.982	491.439
Vitvi04g02106	2.96766	9.98829	5.06641	2.7299	3.08759
Vitvi11g00208	423.539	475.044	445.115	433.456	477.104
Vitvi11g00209	837.013	1418.77	801.629	972.459	1272.05
Vitvi11g00206	238.101	262.057	340.018	424.725	308.668
Vitvi11g00207	501.326	190.25	783.515	172.179	210.932
Vitvi11g00204	2.66867	26.1394	4.9023	30.4934	28.4794
Vitvi11g00205	94.2666	103.328	78.0987	114.231	117.712
Vitvi11g00202	286.367	135.775	232.4	158.324	89.2422
Vitvi11g00203	171.832	209.706	151.85	215.916	170.258
Vitvi11g00200	1465.93	2055.15	1926.58	2394.92	2143.75
Vitvi11g00201	148.94	243.477	139.151	279.157	242.866
Vitvi15g01217	286.121	208.575	850.799	154.177	168.062
Vitvi07g01151	0.887701	0	0.419536	0	0
