Id	Barbera	Garganega	Glera	Moscatobianco	Negroamaro	Passerina	Primitivo	Refosco	Sangiovese	Vermentino
Vitvi17g00495	0.708785	0.43424	1.90283	0	1.73004	0.852251	0.345877	0	0.931524	0.700687
Vitvi17g00494	629.542	707.931	617.825	619.908	473.505	512.726	582.97	598.493	559.988	732.887
Vitvi09g01929	3.02424	2.4691	0.796079	2.36168	2.88766	0.732125	1.10159	2.73705	1.00338	2.4852
Vitvi09g01928	0.887248	0	2.32486	0	8.50848	11.2674	7.9621	0	2.23769	19.9522
Vitvi09g01927	361.741	394.232	274.47	400.373	254.622	278.756	259.254	279.445	199.206	284.901
Vitvi09g01926	0	45.9798	26.6524	87.1774	7.89424	54.5457	28.6824	27.7576	12.043	47.3347
Vitvi09g01925	42.3587	57.6605	102.653	104.717	28.2825	32.6548	41.5631	39.8479	44.1175	46.856
Vitvi09g01924	0.887248	0	0.686722	0.443603	0	0.657317	0.723733	0.419885	0	0.307503
Vitvi09g01921	2.10117	0.397312	0	2.42856	2.46786	0.717785	0	0	0	1.39133
Vitvi17g00874	24.4182	28.3281	26.5845	43.6116	32.7296	32.4477	37.8549	36.5083	20.4036	20.1689
Vitvi17g00873	9.99074	1.15906	6.56795	8.51513	14.3901	5.51164	15.4824	3.43093	7.36876	4.12856
Vitvi17g00872	55.4957	59.4624	60.906	60.6397	50.0685	46.7986	43.7628	61.3601	58.7845	57.3563
Vitvi17g00871	7.10913	12.7095	13.2107	5.20773	1.68884	4.42373	5.39092	10.3111	6.79522	10.1172
Vitvi15g00158	346.801	443.793	545.852	794.02	501.658	521.902	473.83	476.245	577.872	630.157
Vitvi15g00156	50.0235	39.3387	53.4758	67.9339	67.8247	73.615	44.8644	70.3297	35.8417	59.7002
Vitvi04g00509	5.48234	7.35573	4.68911	3.19821	5.30856	9.19282	6.28336	2.84397	11.0512	18.067
Vitvi08g02209	1180.68	2289.95	1670.53	1505.81	1743.53	2478.02	992.516	1326.6	1996.23	1361.67
Vitvi08g02206	3.46787	7.78187	1.95081	4.53106	1.35206	0.568167	4.80392	4.19218	1.47683	1.69883
Vitvi08g02205	1551.66	1872.66	480.214	309.298	460.253	731.342	1864.12	240.06	289.956	288.762
Vitvi08g02200	0	0.32751	0	0	0	27.3938	0	0.419885	0.617154	0
Vitvi08g02201	0	0.32751	0	0	0	0	0	0	0	0.781348
Vitvi04g01679	82.0817	81.0788	102.074	112.32	81.4768	109.885	89.1108	90.8529	78.2694	117.026
Vitvi04g01676	0.387683	0	0.748101	0.427394	0	0.373233	0	0.419885	1.736	0.700687
Vitvi04g01677	146.064	165.477	69.8794	183.892	78.2408	56.8217	166.821	95.9082	90.6061	133.248
Vitvi04g01672	0	0	0	0.427394	0.732056	0.642976	0	0.419885	0	0
Vitvi04g01670	52.9509	49.2038	63.4716	70.4089	57.1135	60.1694	64.0009	56.2179	79.419	52.3458
Vitvi04g01671	1.18317	0.43424	0	2.05184	0.348314	0	0.345877	1.19228	1.04699	0
Vitvi19g00076	7737.11	6992.98	5991.01	7862.14	6547.12	6767.85	7182.11	7665.32	5411.42	6211.19
Vitvi11g00512	165.974	202.248	227.788	198.555	198.246	236.93	234.867	212.835	217.747	197.259
Vitvi11g00513	16520.8	30199.2	6166.33	8523	8590.11	13861.5	17592.9	5647.3	4274.56	5730.02
Vitvi11g00517	1005.69	815.294	729.909	750.003	851.295	770.494	901.815	1038.43	754.014	825.138
Vitvi11g00514	99.874	41.9649	28.0835	62.7198	60.9744	41.5973	58.2986	87.1998	50.9974	57.2252
Vitvi11g00515	20.6443	12.2416	17.3724	13.9757	8.42546	19.3813	26.1401	21.4225	15.6138	17.1041
Vitvi11g00518	1190.29	3043.01	429.165	742.306	144.242	307.193	762.251	562.472	177.626	3287.24
Vitvi06g01909	381.698	403.77	381.026	437.889	433.373	462.534	459.525	437.606	359.756	342.136
Vitvi06g01902	17.7571	6.88051	2.80827	3.82625	1.22848	4.3776	5.99901	0.352505	1.54868	1.70888
Vitvi06g01906	6.84397	16.3369	13.6739	16.9231	13.4384	33.3383	10.9628	13.4569	15.746	16.9629
Vitvi06g01905	1.06065	0.831552	0.39804	0	0.655434	1.00187	0.419686	0.705009	0.859672	0.781348
Vitvi12g00685	285.564	234.233	183.556	245.961	299.266	240.579	217.262	217.628	211.726	204.825
Vitvi12g00684	4.35512	4.77585	8.01136	8.46446	12.0684	6.49917	12.4212	15.0858	5.58915	24.4236
Vitvi12g00686	69.9648	115.761	97.2619	104.332	80.7513	100.541	93.5871	70.9384	72.5171	73.5126
Vitvi12g00681	9.7915	8.62152	25.3406	55.2115	22.7859	18.501	13.2792	13.1323	28.818	31.2843
Vitvi12g00680	188.274	193.607	197.234	156.862	170.985	196.776	236.715	163.466	171.012	189.647
Vitvi12g00682	2059.33	1543.42	1106.26	1092.49	892.095	1153.88	1037.07	914.57	848.223	786.77
Vitvi12g00689	0	0.831552	5.98858	0.443603	5.19588	1.28595	1.18525	0	2.4802	1.31067
Vitvi07g00654	300.193	208.75	214.561	182.811	168.088	195.686	264.603	212.658	203.97	249.372
Vitvi07g00655	230.072	278.139	304.693	254.422	209.343	224.85	262.855	275.745	222.341	257.342
Vitvi07g00656	840.618	760.629	777.912	1060.03	1311.82	1251.85	546.441	618.611	765.656	776.724
Vitvi15g00844	145.932	17.3047	21.6087	17.4399	81.4164	7.57585	40.8787	8.22842	36.2534	45.1772
Vitvi15g00845	87.2844	85.8542	82.8813	87.5268	71.4611	76.1446	85.1177	84.1849	102.251	72.7867
Vitvi15g00846	39.9931	26.5188	67.1979	42.3493	31.814	21.4605	26.8241	34.9847	20.8873	36.5925
Vitvi07g00657	1406.17	1336.05	1420.86	1566.44	1883.15	1783.81	908.645	1126.14	1386.39	1462.06
Vitvi15g00840	1550.78	1440.73	1120.79	1527.2	1460.87	1386.05	1556.41	1537.1	883.836	1207.33
Vitvi15g00841	4.73773	6.95437	6.95058	8.20734	10.6287	6.59061	7.71855	12.8009	15.9166	9.53759
Vitvi15g00842	1906.7	2191.7	2028.4	1427.06	1791.69	2085.64	1918.06	1672.93	2071.12	1855.48
Vitvi15g00843	0.708785	0	0	0	13.7456	0.717785	0	0	41.7541	0
Vitvi07g00658	19.4052	10.5342	5.59254	9.94524	18.5641	12.1077	20.9461	10.9543	12.759	12.6981
Vitvi07g00659	606.276	836.164	412.704	365.051	606.223	549.548	541.477	457.801	255.679	379.802
Vitvi06g01010	102.726	163.835	108.316	123.499	113.786	133.895	114.037	147.792	158.137	104.812
Vitvi06g01011	347.486	277.427	348.024	343.314	343.231	310.461	359.146	349.629	323.761	282.395
